date,year,month,month_name,dia,valle_bravo_mm3,valle_bravo_pct,valle_bravo_lluvia,villa_victoria_mm3,villa_victoria_pct,villa_victoria_lluvia,el_bosque_mm3,el_bosque_pct,el_bosque_lluvia,total_mm3,total_pct,source_pdf
2016-10-01,2016,10,OCTUBRE,1,168.722,90.84,2.0,383.711,97.29,60.0,199.18,98.41,9.5,751613000,96.05,Portal_Conagua_2016.pdf
2016-10-02,2016,10,OCTUBRE,2,169.823,91.43,0.0,384.938,97.6,0.0,198.95,98.3,0.0,753711000,96.32,Portal_Conagua_2016.pdf
2016-10-03,2016,10,OCTUBRE,3,170.648,91.88,4.6,385.966,97.86,0.0,198.605,98.13,0.0,755219000,96.51,Portal_Conagua_2016.pdf
2016-10-04,2016,10,OCTUBRE,4,171.219,92.19,0.0,387.207,98.18,11.5,198.72,98.18,0.0,757146000,96.76,Portal_Conagua_2016.pdf
2016-10-05,2016,10,OCTUBRE,5,171.515,92.35,1.0,388.04,98.39,1.9,200.215,98.92,22.5,759770000,97.09,Portal_Conagua_2016.pdf
2016-10-06,2016,10,OCTUBRE,6,171.811,92.51,0.0,388.457,98.5,0.0,200.33,98.98,0.0,760598000,97.2,Portal_Conagua_2016.pdf
2016-10-07,2016,10,OCTUBRE,7,171.811,92.51,0.0,388.876,98.6,0.0,199.755,98.69,0.0,760442000,97.18,Portal_Conagua_2016.pdf
2016-10-08,2016,10,OCTUBRE,8,171.811,92.51,0.0,389.295,98.71,0.0,198.95,98.3,0.0,760056000,97.13,Portal_Conagua_2016.pdf
2016-10-09,2016,10,OCTUBRE,9,172.108,92.67,0.0,389.505,98.76,0.0,198.145,97.9,0.0,759758000,97.09,Portal_Conagua_2016.pdf
2016-10-10,2016,10,OCTUBRE,10,172.404,92.82,0.0,389.715,98.81,0.0,197.4,97.53,0.0,759519000,97.06,Portal_Conagua_2016.pdf
2016-10-11,2016,10,OCTUBRE,11,172.404,92.82,3.0,390.136,98.92,0.0,197.4,97.53,0.0,759940000,97.11,Portal_Conagua_2016.pdf
2016-10-12,2016,10,OCTUBRE,12,172.7,92.98,0.0,390.557,99.03,12.5,197.915,97.78,1.2,761172000,97.27,Portal_Conagua_2016.pdf
2016-10-13,2016,10,OCTUBRE,13,172.7,92.98,0.0,391.192,99.19,12.0,197.915,97.78,0.0,761807000,97.35,Portal_Conagua_2016.pdf
2016-10-14,2016,10,OCTUBRE,14,172.7,92.98,0.0,391.192,99.19,2.5,197.4,97.53,2.8,761292000,97.29,Portal_Conagua_2016.pdf
2016-10-15,2016,10,OCTUBRE,15,172.996,93.14,0.0,391.192,99.19,0.0,198.49,98.07,1.0,762678000,97.46,Portal_Conagua_2016.pdf
2016-10-16,2016,10,OCTUBRE,16,172.996,93.14,0.0,391.192,99.19,1.2,198.835,98.24,0.0,763023000,97.51,Portal_Conagua_2016.pdf
2016-10-17,2016,10,OCTUBRE,17,173.292,93.3,10.0,390.98,99.14,0.0,199.18,98.41,0.0,763452000,97.56,Portal_Conagua_2016.pdf
2016-10-18,2016,10,OCTUBRE,18,173.292,93.3,1.0,390.769,99.08,0.0,199.41,98.52,0.0,763471000,97.57,Portal_Conagua_2016.pdf
2016-10-19,2016,10,OCTUBRE,19,173.292,93.3,0.0,390.557,99.03,0.0,199.64,98.64,0.0,763489000,97.57,Portal_Conagua_2016.pdf
2016-10-20,2016,10,OCTUBRE,20,173.538,93.44,0.0,390.136,98.92,0.0,199.755,98.69,0.0,763429000,97.56,Portal_Conagua_2016.pdf
2016-10-21,2016,10,OCTUBRE,21,173.538,93.44,0.0,389.715,98.81,0.0,199.755,98.69,0.0,763008000,97.51,Portal_Conagua_2016.pdf
2016-10-22,2016,10,OCTUBRE,22,173.538,93.44,0.0,389.295,98.71,0.0,199.64,98.64,0.0,762473000,97.44,Portal_Conagua_2016.pdf
2016-10-23,2016,10,OCTUBRE,23,173.292,93.3,0.0,389.085,98.65,0.0,199.525,98.58,0.0,761902000,97.37,Portal_Conagua_2016.pdf
2016-10-24,2016,10,OCTUBRE,24,173.292,93.3,0.0,388.876,98.6,0.0,199.41,98.52,0.0,761578000,97.32,Portal_Conagua_2016.pdf
2016-10-25,2016,10,OCTUBRE,25,173.292,93.3,0.0,388.457,98.5,0.0,199.295,98.47,0.0,761044000,97.26,Portal_Conagua_2016.pdf
2016-10-26,2016,10,OCTUBRE,26,173.292,93.3,0.0,387.831,98.34,0.0,199.18,98.41,0.0,760303000,97.16,Portal_Conagua_2016.pdf
2016-10-27,2016,10,OCTUBRE,27,173.292,93.3,0.0,387.207,98.18,0.0,198.95,98.3,0.0,759449000,97.05,Portal_Conagua_2016.pdf
2016-10-28,2016,10,OCTUBRE,28,172.996,93.14,0.0,387.207,98.18,0.0,198.72,98.18,0.0,758923000,96.98,Portal_Conagua_2016.pdf
2016-10-29,2016,10,OCTUBRE,29,172.996,93.14,0.0,387.415,98.23,7.0,198.375,98.01,0.0,758786000,96.97,Portal_Conagua_2016.pdf
2016-10-30,2016,10,OCTUBRE,30,172.996,93.14,11.8,387.415,98.23,0.0,198.03,97.84,0.0,758441000,96.92,Portal_Conagua_2016.pdf
2016-10-31,2016,10,OCTUBRE,31,173.292,93.3,14.5,387.831,98.34,0.0,197.302,97.48,0.0,758425000,96.92,Portal_Conagua_2016.pdf
2016-11-01,2016,11,NOVIEMBRE,1,173.538,93.44,0.0,388.457,98.5,0.0,197.204,97.43,0.0,759199000,97.02,MES_NOVIEMBRE.pdf
2016-11-02,2016,11,NOVIEMBRE,2,173.538,93.44,1.6,388.876,98.6,12.0,197.008,97.34,0.0,759422000,97.05,MES_NOVIEMBRE.pdf
2016-11-03,2016,11,NOVIEMBRE,3,173.538,93.44,0.0,389.295,98.71,1.5,196.812,97.24,0.0,759645000,97.08,MES_NOVIEMBRE.pdf
2016-11-04,2016,11,NOVIEMBRE,4,173.538,93.44,0.0,388.876,98.6,0.0,196.714,97.19,0.0,759128000,97.01,MES_NOVIEMBRE.pdf
2016-11-05,2016,11,NOVIEMBRE,5,173.538,93.44,0.0,389.505,98.76,0.0,196.42,97.05,0.0,759463000,97.05,MES_NOVIEMBRE.pdf
2016-11-06,2016,11,NOVIEMBRE,6,173.538,93.44,0.0,389.925,98.87,0.0,196.322,97.0,0.0,759785000,97.09,MES_NOVIEMBRE.pdf
2016-11-07,2016,11,NOVIEMBRE,7,173.538,93.44,18.0,390.347,98.97,0.0,196.126,96.9,8.0,760011000,97.12,MES_NOVIEMBRE.pdf
2016-11-08,2016,11,NOVIEMBRE,8,173.885,93.62,23.0,390.769,99.08,14.5,196.224,96.95,16.4,760878000,97.23,MES_NOVIEMBRE.pdf
2016-11-09,2016,11,NOVIEMBRE,9,174.477,93.94,8.0,392.253,99.46,4.0,196.616,97.14,7.9,763346000,97.55,MES_NOVIEMBRE.pdf
